model,category,image_auc,image_ap,precision,recall,f1,pixel_auc,mean_iou,mean_dice
VAE,tile,0.5692640692640693,0.7331102311412989,0.7241379310344828,1.0,0.84,0.555862226289391,0.017816412677178373,0.030119911401673232
VAE,toothbrush,0.6861111111111112,0.8444145666321786,0.8181818181818182,0.9,0.8571428571428571,0.12587760455335334,0.0006039143900659859,0.0012030979133184198
VAE,transistor,0.3029166666666667,0.31962050193351943,0.4,1.0,0.5714285714285714,0.6814015840849129,0.008963244493481756,0.016867878724038516
VAE,wood,0.8043859649122806,0.9223923161765183,0.8507462686567164,0.95,0.8976377952755905,0.6868258518822179,0.03591678330704884,0.06035115355357988
VAE,zipper,0.48030462184873945,0.7869667820611222,0.7880794701986755,1.0,0.8814814814814815,0.7159314622831645,0.012944505895457047,0.023412018431111042
DAE,bottle,0.5373015873015873,0.8298052169978425,0.7590361445783133,1.0,0.863013698630137,0.6643293886912414,0.002661479914713063,0.005259335328643374
DAE,cable,0.4643928035982009,0.6155921817782468,0.6133333333333333,1.0,0.7603305785123967,0.622059254001861,0.0006947977278837958,0.0013809874733637989
DAE,capsule,0.46589549262066215,0.7904672161191748,0.8257575757575758,1.0,0.9045643153526971,0.7083709814280549,0.005418499267546629,0.009177763886500575
DAE,carpet,0.33186195826645265,0.6644173480073331,0.7606837606837606,1.0,0.8640776699029126,0.5350108810080718,0.00042801628322153886,0.0008421350489404254
DAE,grid,0.8696741854636593,0.9521715833355848,0.8088235294117647,0.9649122807017544,0.88,0.6046150190920978,0.0031242083181211924,0.0061612818528453284
DAE,hazelnut,0.8878571428571429,0.9360006652503949,0.8227848101265823,0.9285714285714286,0.87248322147651,0.8625283591885358,0.0629064161754889,0.10603296608863629
DAE,leather,0.38858695652173914,0.7159658097860132,0.7419354838709677,1.0,0.8518518518518519,0.6758314492943275,0.02446039352671028,0.04681936072415816
DAE,metal_nut,0.26832844574780057,0.6971652976003466,0.808695652173913,1.0,0.8942307692307693,0.7630496025506116,0.0006314795462524938,0.0012599743396798236
DAE,pill,0.762138570649209,0.9388373969124477,0.8846153846153846,0.9787234042553191,0.9292929292929293,0.5,0.051038044509875966,0.08142694777007702
DAE,screw,0.9858577577372414,0.9953918630064915,0.9512195121951219,0.9831932773109243,0.9669421487603306,0.5,0.0006716850134111367,0.0013042284716960559
DAE,tile,0.8077200577200577,0.9234845982632863,0.7735849056603774,0.9761904761904762,0.8631578947368421,0.5,0.0026950288071836237,0.005249175962032712
DAE,toothbrush,0.6499999999999999,0.8669164058107188,0.7142857142857143,1.0,0.8333333333333334,0.8526399234638489,0.006555229780522988,0.012877126622447341
DAE,transistor,0.44500000000000006,0.44710446559845646,0.40404040404040403,1.0,0.5755395683453237,0.5250309640018245,0.0006591529546694934,0.0013155192815226225
DAE,wood,0.962280701754386,0.9882964336549401,0.9090909090909091,1.0,0.9523809523809523,0.6848795199832562,0.013340310409342453,0.02579268633391179
DAE,zipper,0.48739495798319327,0.827639675514601,0.7880794701986755,1.0,0.8814814814814815,0.5,0.0019755131741349364,0.0039027839578616393
